POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,1,-,19,1,25
2,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,4,-,0,2,22
3,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,7,-,0,3,20
4,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,9,-,0,4,18
5,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,2,-,0,5,16
6,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,11,-,0,6,15
7,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,19,-,0,7,14
8,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,5,-,0,8,13
9,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,12,-,0,9,12
10,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,13,-,0,10,11
11,44,Matthew Goerke,"Temecula, CA",KTM 450 SX-F Factory Edit,14,-,0,11,10
12,15,Dean Wilson,"Wesley Chapel, FL",Kawasaki KX 450F,8,-,0,12,9
13,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,3,-,0,13,8
14,23,William Hahn,"Menifee, CA",Honda CRF 450,10,-,0,14,7
15,21,Cole Seely,"Lake Elsinore, CA",Honda CRF 450,6,X,1,15,6
16,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,17,-,0,16,5
17,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,18,-,0,17,4
18,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,20,-,0,18,3
19,606,Ronnie Stewart,"Easton, PA",Suzuki RM-Z450,21,-,0,19,2
20,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,15,-,0,20,1
21,374,Cody Gilmore,"Blair, NE",Kawasaki KX 450F,22,-,0,21,1
22,415,Nicholas Schmidt,"Riverside, CA",Honda CRF 450,16,-,0,22,1
