POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,3,X,26,1,26
2,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,-,0,2,23
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,2,-,0,3,21
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,7,-,0,4,19
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,9,-,0,5,18
6,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,4,-,0,6,17
7,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,16,-,0,7,16
8,94,Ken Roczen,"Clermont, FL",Honda CRF 450,5,-,0,8,15
9,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,1,-,0,9,14
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,10,-,0,10,13
11,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,8,-,0,11,12
12,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,14,-,0,12,11
13,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,15,-,0,13,10
14,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,12,-,0,14,9
15,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,13,-,0,15,8
16,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,21,-,0,16,7
17,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,19,-,0,17,6
18,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,11,-,0,18,5
19,201,Cedric Soubeyras,"Venasque, France",Husqvarna FC450,18,-,0,19,4
20,97,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,22,-,0,20,3
21,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,20,-,0,21,2
22,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,17,-,0,22,1
