POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Honda CRF 450,1,-,13,1,25
2,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,9,-,7,2,22
3,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,4,-,0,3,20
4,23,Weston Peick,"Menifee, CA",Yamaha YZ450F,10,-,0,4,18
5,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,3,-,0,5,16
6,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,11,-,0,6,15
7,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,13,-,0,7,14
8,41,Trey Canard,"Edmond, OK",Honda CRF 450,8,-,0,8,13
9,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,17,-,0,9,12
10,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,5,-,0,10,11
11,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,6,-,0,11,10
12,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,18,-,0,12,9
13,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,14,-,0,13,8
14,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,2,-,0,14,7
15,10,Justin Brayton,"Murrieta, CA",KTM 450 SX-F Factory Edit,7,-,0,15,6
16,24,Brett Metcalfe,"Lake Elsinore, CA",Suzuki RM-Z450,20,-,0,16,5
17,15,Dean Wilson,"Wesley Chapel, FL",KTM 450 SX-F Factory Edit,12,-,0,17,4
18,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,16,-,0,18,3
19,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,15,-,0,19,2
20,53,Jimmy Albertson,"Shawnee, OK",Yamaha YZ450F,21,-,0,20,1
21,199,Kyle Partridge,"Canyon Lake, CA",Honda CRF 450,22,-,0,21,1
22,64,A J Catanzaro,"Portland, CT",Suzuki RM-Z450,19,-,0,22,1
