POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,31,Martin Davalos,"Cairo, GA",Kawasaki KX 250F,1,X,15,1,25
2,32,Justin Bogle,"Cushing, OK",Honda CRF 250,2,-,0,2,22
3,4,Blake Baggett,"Grand Terrace, CA",Kawasaki KX 250F,3,-,0,3,20
4,30,Kyle Cunningham,"Aledo, TX",Honda CRF 250,11,-,0,4,18
5,57,A J Catanzaro,"Portland, CT",Honda CRF 250,8,-,0,5,16
6,52,Cole Thompson,"BRIGDEN, Canada",KTM 350 SX-F,10,-,0,6,15
7,96,Matthew Bisceglia,"Weatherford, TX",Honda CRF 250,6,-,0,7,14
8,56,James Decotis,"Peabody, MA",Honda CRF 250,13,-,0,8,13
9,55,Alex Martin,"Millville, MN",Yamaha YZ250F,7,-,0,9,12
10,533,Gannon Audette,"Tallahassee, FL",Kawasaki KX 250F,21,-,0,10,11
11,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 250,12,-,0,11,10
12,854,Landen Powell,"South Jordan, UT",KTM 250 SX-F,17,-,0,12,9
13,60,Jackson Richardson,"Wildomar, CA",Honda CRF 250,16,-,0,13,8
14,874,Zack Williams,"Elko, MN",Honda CRF 250,19,-,0,14,7
15,88,Jesse Wentland,"Elk River, MN",Honda CRF 250,15,-,0,15,6
16,69,Levi Kilbarger,"Logan, OH",Honda CRF 250,18,-,0,16,5
17,99,Justin Starling,"Deland, FL",Honda CRF 250,14,-,0,17,4
18,812,Luke Vonlinger,"Stanford, KY",Honda CRF 250,20,-,0,18,3
19,386,Aaron Gulley,"Jonesburg, MO",Kawasaki KX 250F,22,-,0,19,2
20,19,Jeremy Martin,"Millville, MN",Yamaha YZ250F,5,-,0,20,1
21,78,Matthew Lemoine,"Pilot Point, TX",Kawasaki KX 250F,4,-,0,21,1
